Designator,Mid X,Mid Y,Rotation,Layer
C1,215.1,-25.8,270.0,bottom
C10,245.9,-61.4,180.0,bottom
C11,245.9,-63.6,180.0,bottom
C12,252.6,-75.6,180.0,bottom
C13,252.6,-73.2,180.0,bottom
C14,228.7,-63.6,0.0,bottom
C15,235.6,-73.3,0.0,bottom
C16,235.6,-75.4,0.0,bottom
C17,148.6,-129.211297,0.0,bottom
C18,152.1,-118.711297,90.0,bottom
C19,149.6,-117.411297,0.0,bottom
C2,213.2,-25.6,270.0,bottom
C20,146.9,-119.611297,0.0,bottom
C21,147.437499,-105.611297,0.0,bottom
C22,152.0,-94.5,90.0,bottom
C23,149.3,-93.711297,0.0,bottom
C24,146.3,-95.611297,0.0,bottom
C25,147.900001,-83.042702,0.0,bottom
C26,151.9,-72.0,90.0,bottom
C27,149.400001,-71.142702,0.0,bottom
C28,146.2,-73.211297,0.0,bottom
C29,137.600001,-65.042702,0.0,bottom
C3,214.6,-53.8,90.0,bottom
C30,143.962502,-55.642702,180.0,bottom
C31,143.0,-54.3,0.0,top
C32,137.400001,-55.542702,0.0,bottom
C4,226.075,-96.9,180.0,bottom
C5,226.074999,-95.3,180.0,bottom
C6,260.325,-119.6,270.0,bottom
C7,253.8,-64.6,270.0,bottom
C8,229.475001,-95.3,180.0,bottom
C9,245.6,-90.5,180.0,bottom
D1,223.66,-81.1125,0.0,bottom
D10,173.074984,-124.050904,90.0,top
D100,189.074984,-100.050905,90.0,top
D101,189.074987,-96.050905,90.0,top
D102,189.074986,-92.050906,90.0,top
D103,189.074987,-88.050904,90.0,top
D104,189.074987,-84.050905,90.0,top
D105,193.074984,-104.050904,90.0,top
D106,193.074985,-100.050905,90.0,top
D107,193.074985,-96.050905,90.0,top
D108,193.074986,-92.050904,90.0,top
D109,193.074986,-88.050904,90.0,top
D11,173.074983,-120.050904,90.0,top
D110,193.074986,-84.050905,90.0,top
D111,197.074986,-104.050904,90.0,top
D112,197.074986,-100.050905,90.0,top
D113,197.074986,-96.050903,90.0,top
D114,197.074986,-92.050904,90.0,top
D115,197.074988,-88.050904,90.0,top
D116,197.074986,-84.050905,90.0,top
D117,201.074985,-104.050904,90.0,top
D118,201.074985,-100.050902,90.0,top
D119,201.074985,-96.050903,90.0,top
D12,173.074984,-116.050905,90.0,top
D120,201.074985,-92.050904,90.0,top
D121,201.074985,-88.050904,90.0,top
D122,201.074985,-84.050905,90.0,top
D123,205.074987,-104.050904,90.0,top
D124,205.074987,-100.050905,90.0,top
D125,205.074984,-96.050903,90.0,top
D126,205.074984,-92.050904,90.0,top
D127,205.074983,-88.050904,90.0,top
D128,205.074984,-84.050905,90.0,top
D129,209.074986,-104.050904,90.0,top
D13,173.074987,-112.050905,90.0,top
D130,209.074986,-100.050905,90.0,top
D131,209.074986,-96.050905,90.0,top
D132,209.074984,-92.050904,90.0,top
D133,209.074984,-88.050904,90.0,top
D134,209.074985,-84.050905,90.0,top
D135,169.074985,-80.050905,90.0,top
D136,169.074985,-76.050904,90.0,top
D137,169.074985,-72.050904,90.0,top
D138,169.074985,-68.050902,90.0,top
D139,169.074985,-64.050903,90.0,top
D14,173.074986,-108.050906,90.0,top
D140,169.074985,-60.050904,90.0,top
D141,173.074987,-80.050905,90.0,top
D142,173.074986,-76.050906,90.0,top
D143,173.074987,-72.050904,90.0,top
D144,173.074987,-68.050905,90.0,top
D145,173.074984,-64.050903,90.0,top
D146,173.074984,-60.050904,90.0,top
D147,177.074985,-80.050905,90.0,top
D148,177.074986,-76.050904,90.0,top
D149,177.074986,-72.050904,90.0,top
D15,177.074986,-128.050905,90.0,top
D150,177.074986,-68.050905,90.0,top
D151,177.074986,-64.050905,90.0,top
D152,177.074984,-60.050904,90.0,top
D153,181.074986,-80.050903,90.0,top
D154,181.074986,-76.050904,90.0,top
D155,181.074988,-72.050904,90.0,top
D156,181.074986,-68.050905,90.0,top
D157,181.074987,-64.050905,90.0,top
D158,181.074986,-60.050906,90.0,top
D159,185.074985,-80.050903,90.0,top
D16,177.074984,-124.050904,90.0,top
D160,185.074985,-76.050904,90.0,top
D161,185.074985,-72.050904,90.0,top
D162,185.074985,-68.050905,90.0,top
D163,185.074985,-64.050905,90.0,top
D164,185.074985,-60.050904,90.0,top
D165,189.074984,-80.050903,90.0,top
D166,189.074984,-76.050904,90.0,top
D167,189.074983,-72.050904,90.0,top
D168,189.074984,-68.050905,90.0,top
D169,189.074987,-64.050905,90.0,top
D17,177.074984,-120.050904,90.0,top
D170,189.074986,-60.050906,90.0,top
D171,193.074986,-80.050905,90.0,top
D172,193.074984,-76.050904,90.0,top
D173,193.074984,-72.050904,90.0,top
D174,193.074985,-68.050905,90.0,top
D175,193.074985,-64.050905,90.0,top
D176,193.074986,-60.050904,90.0,top
D177,197.074987,-80.050905,90.0,top
D178,197.074986,-76.050906,90.0,top
D179,197.074986,-72.050904,90.0,top
D18,177.074985,-116.050905,90.0,top
D180,197.074986,-68.050905,90.0,top
D181,197.074986,-64.050903,90.0,top
D182,197.074986,-60.050904,90.0,top
D183,201.074985,-80.050905,90.0,top
D184,201.074985,-76.050904,90.0,top
D185,201.074985,-72.050904,90.0,top
D186,201.074985,-68.050902,90.0,top
D187,201.074985,-64.050903,90.0,top
D188,201.074985,-60.050904,90.0,top
D189,205.074987,-80.050905,90.0,top
D19,177.074985,-112.050905,90.0,top
D190,205.074986,-76.050906,90.0,top
D191,205.074987,-72.050904,90.0,top
D192,205.074987,-68.050905,90.0,top
D193,205.074984,-64.050903,90.0,top
D194,205.074984,-60.050904,90.0,top
D195,209.074985,-80.050905,90.0,top
D196,209.074986,-76.050904,90.0,top
D197,209.074986,-72.050904,90.0,top
D198,209.074986,-68.050905,90.0,top
D199,209.074986,-64.050905,90.0,top
D2,233.7,-63.6,180.0,bottom
D20,177.074986,-108.050904,90.0,top
D200,209.074984,-60.050904,90.0,top
D201,169.074985,-56.050904,90.0,top
D202,169.074985,-52.050905,90.0,top
D203,169.074985,-48.050905,90.0,top
D204,169.074985,-44.050904,90.0,top
D205,169.074985,-40.050904,90.0,top
D206,169.074985,-36.050902,90.0,top
D207,173.074983,-56.050904,90.0,top
D208,173.074984,-52.050905,90.0,top
D209,173.074987,-48.050905,90.0,top
D21,181.074987,-128.050905,90.0,top
D210,173.074986,-44.050906,90.0,top
D211,173.074987,-40.050904,90.0,top
D212,173.074987,-36.050905,90.0,top
D213,177.074984,-56.050904,90.0,top
D214,177.074985,-52.050905,90.0,top
D215,177.074985,-48.050905,90.0,top
D216,177.074986,-44.050904,90.0,top
D217,177.074986,-40.050904,90.0,top
D218,177.074986,-36.050905,90.0,top
D219,181.074986,-56.050904,90.0,top
D22,181.074986,-124.050906,90.0,top
D220,181.074986,-52.050905,90.0,top
D221,181.074986,-48.050903,90.0,top
D222,181.074986,-44.050904,90.0,top
D223,181.074988,-40.050904,90.0,top
D224,181.074986,-36.050905,90.0,top
D225,185.074985,-56.050904,90.0,top
D226,185.074985,-52.050902,90.0,top
D227,185.074985,-48.050903,90.0,top
D228,185.074985,-44.050904,90.0,top
D229,185.074985,-40.050904,90.0,top
D23,181.074986,-120.050904,90.0,top
D230,185.074985,-36.050905,90.0,top
D231,189.074987,-56.050904,90.0,top
D232,189.074987,-52.050905,90.0,top
D233,189.074984,-48.050903,90.0,top
D234,189.074984,-44.050904,90.0,top
D235,189.074983,-40.050904,90.0,top
D236,189.074984,-36.050905,90.0,top
D237,193.074986,-56.050904,90.0,top
D238,193.074986,-52.050905,90.0,top
D239,193.074986,-48.050905,90.0,top
D24,181.074986,-116.050905,90.0,top
D240,193.074984,-44.050904,90.0,top
D241,193.074984,-40.050904,90.0,top
D242,193.074985,-36.050905,90.0,top
D243,197.074988,-56.050904,90.0,top
D244,197.074986,-52.050905,90.0,top
D245,197.074987,-48.050905,90.0,top
D246,197.074986,-44.050906,90.0,top
D247,197.074986,-40.050904,90.0,top
D248,197.074986,-36.050905,90.0,top
D249,201.074985,-56.050904,90.0,top
D25,181.074986,-112.050903,90.0,top
D250,201.074985,-52.050905,90.0,top
D251,201.074985,-48.050905,90.0,top
D252,201.074985,-44.050904,90.0,top
D253,201.074985,-40.050904,90.0,top
D254,201.074985,-36.050902,90.0,top
D255,205.074983,-56.050904,90.0,top
D256,205.074984,-52.050905,90.0,top
D257,205.074987,-48.050905,90.0,top
D258,205.074986,-44.050906,90.0,top
D259,205.074987,-40.050904,90.0,top
D26,181.074986,-108.050904,90.0,top
D260,205.074987,-36.050905,90.0,top
D261,209.074984,-56.050904,90.0,top
D262,209.074985,-52.050905,90.0,top
D263,209.074985,-48.050905,90.0,top
D264,209.074986,-44.050904,90.0,top
D265,209.074986,-40.050904,90.0,top
D266,209.074986,-36.050905,90.0,top
D27,185.074985,-128.050905,90.0,top
D28,185.074985,-124.050904,90.0,top
D29,185.074985,-120.050904,90.0,top
D3,169.074985,-128.050903,90.0,top
D30,185.074985,-116.050902,90.0,top
D31,185.074985,-112.050903,90.0,top
D32,185.074985,-108.050904,90.0,top
D33,189.074987,-128.050905,90.0,top
D34,189.074986,-124.050906,90.0,top
D35,189.074987,-120.050904,90.0,top
D36,189.074987,-116.050905,90.0,top
D37,189.074984,-112.050903,90.0,top
D38,189.074984,-108.050904,90.0,top
D39,193.074985,-128.050905,90.0,top
D4,169.074985,-124.050904,90.0,top
D40,193.074986,-124.050904,90.0,top
D41,193.074986,-120.050904,90.0,top
D42,193.074986,-116.050905,90.0,top
D43,193.074986,-112.050905,90.0,top
D44,193.074984,-108.050904,90.0,top
D45,197.074986,-128.050903,90.0,top
D46,197.074986,-124.050904,90.0,top
D47,197.074988,-120.050904,90.0,top
D48,197.074986,-116.050905,90.0,top
D49,197.074987,-112.050905,90.0,top
D5,169.074985,-120.050904,90.0,top
D50,197.074986,-108.050906,90.0,top
D51,201.074985,-128.050903,90.0,top
D52,201.074985,-124.050904,90.0,top
D53,201.074985,-120.050904,90.0,top
D54,201.074985,-116.050905,90.0,top
D55,201.074985,-112.050905,90.0,top
D56,201.074985,-108.050904,90.0,top
D57,205.074984,-128.050903,90.0,top
D58,205.074984,-124.050904,90.0,top
D59,205.074983,-120.050904,90.0,top
D6,169.074985,-116.050905,90.0,top
D60,205.074984,-116.050905,90.0,top
D61,205.074987,-112.050905,90.0,top
D62,205.074986,-108.050906,90.0,top
D63,209.074986,-128.050905,90.0,top
D64,209.074984,-124.050904,90.0,top
D65,209.074984,-120.050904,90.0,top
D66,209.074985,-116.050905,90.0,top
D67,209.074985,-112.050905,90.0,top
D68,209.074986,-108.050904,90.0,top
D69,169.074985,-104.050904,90.0,top
D7,169.074985,-112.050905,90.0,top
D70,169.074985,-100.050902,90.0,top
D71,169.074985,-96.050903,90.0,top
D72,169.074985,-92.050904,90.0,top
D73,169.074985,-88.050904,90.0,top
D74,169.074985,-84.050905,90.0,top
D75,173.074987,-104.050904,90.0,top
D76,173.074987,-100.050905,90.0,top
D77,173.074984,-96.050903,90.0,top
D78,173.074984,-92.050904,90.0,top
D79,173.074983,-88.050904,90.0,top
D8,169.074985,-108.050904,90.0,top
D80,173.074984,-84.050905,90.0,top
D81,177.074986,-104.050904,90.0,top
D82,177.074986,-100.050905,90.0,top
D83,177.074986,-96.050905,90.0,top
D84,177.074984,-92.050904,90.0,top
D85,177.074984,-88.050904,90.0,top
D86,177.074985,-84.050905,90.0,top
D87,181.074988,-104.050904,90.0,top
D88,181.074986,-100.050905,90.0,top
D89,181.074987,-96.050905,90.0,top
D9,173.074984,-128.050903,90.0,top
D90,181.074986,-92.050906,90.0,top
D91,181.074986,-88.050904,90.0,top
D92,181.074986,-84.050905,90.0,top
D93,185.074985,-104.050904,90.0,top
D94,185.074985,-100.050905,90.0,top
D95,185.074985,-96.050905,90.0,top
D96,185.074985,-92.050904,90.0,top
D97,185.074985,-88.050904,90.0,top
D98,185.074985,-84.050902,90.0,top
D99,189.074983,-104.050904,90.0,top
J1,165.8,-26.925,180.0,bottom
J2,242.0,-53.61,180.0,bottom
R1,214.1,-32.7,270.0,bottom
R10,244.2,-54.7,0.0,top
R11,239.9,-54.7,180.0,top
R12,226.8,-68.4,0.0,bottom
R13,226.8,-66.7,0.0,bottom
R14,226.8,-70.1,180.0,bottom
R15,226.8,-71.7,180.0,bottom
R16,228.6,-73.3,180.0,bottom
R17,157.60552,-115.661299,0.0,bottom
R18,157.60552,-117.2613,0.0,bottom
R19,157.60552,-118.861298,0.0,bottom
R2,215.7,-32.7,270.0,bottom
R20,157.60552,-120.461296,0.0,bottom
R21,157.60552,-122.061299,0.0,bottom
R22,157.605519,-123.661298,0.0,bottom
R23,157.60552,-125.261298,0.0,bottom
R24,157.60552,-126.961298,0.0,bottom
R25,157.60552,-128.661298,0.0,bottom
R26,131.4,-119.811297,270.0,bottom
R27,133.0,-119.823797,270.0,bottom
R28,134.6,-119.811297,270.0,bottom
R29,136.2,-119.811298,270.0,bottom
R3,215.2,-51.2,180.0,bottom
R30,137.9,-119.811297,270.0,bottom
R31,139.5,-119.811297,270.0,bottom
R32,141.1,-119.811297,270.0,bottom
R33,142.700001,-119.811297,270.0,bottom
R34,144.3,-119.811298,270.0,bottom
R35,157.6,-91.011297,0.0,bottom
R36,157.6,-92.711297,0.0,bottom
R37,157.6,-94.411297,0.0,bottom
R38,157.6,-96.011297,0.0,bottom
R39,157.6,-97.611297,0.0,bottom
R4,223.7,-90.4,90.0,bottom
R40,157.6,-99.211297,0.0,bottom
R41,157.6,-100.811297,0.0,bottom
R42,157.6,-102.411297,0.0,bottom
R43,157.6,-104.011297,0.0,bottom
R44,130.9,-95.711297,270.0,bottom
R45,132.5,-95.711297,270.0,bottom
R46,134.1,-95.711297,270.0,bottom
R47,135.7,-95.711297,270.0,bottom
R48,137.3,-95.711297,270.0,bottom
R49,138.9,-95.711297,270.0,bottom
R5,262.0,-119.6,90.0,bottom
R50,140.5,-95.698797,270.0,bottom
R51,142.1,-95.698797,270.0,bottom
R52,143.7,-95.698797,270.0,bottom
R53,157.6,-69.211297,0.0,bottom
R54,157.6,-70.811297,0.0,bottom
R55,157.6,-72.411297,0.0,bottom
R56,157.6,-74.011297,0.0,bottom
R57,157.6,-75.611297,0.0,bottom
R58,157.6,-77.211297,0.0,bottom
R59,157.6,-78.811297,0.0,bottom
R6,247.4,-88.9,180.0,bottom
R60,157.6,-80.411297,0.0,bottom
R61,157.6,-82.011297,0.0,bottom
R62,130.8,-73.811297,270.0,bottom
R63,132.4,-73.811297,270.0,bottom
R64,134.0,-73.811297,270.0,bottom
R65,135.6,-73.811297,270.0,bottom
R66,137.2,-73.811297,270.0,bottom
R67,138.8,-73.811297,270.0,bottom
R68,140.400001,-73.798797,270.0,bottom
R69,142.0,-73.798797,270.0,bottom
R7,260.2,-67.2,180.0,bottom
R70,143.6,-73.811297,270.0,bottom
R71,147.600001,-57.942702,0.0,bottom
R72,150.400001,-58.042702,270.0,bottom
R73,152.000001,-58.342702,270.0,bottom
R74,153.600001,-58.342702,270.0,bottom
R75,155.200001,-58.342702,270.0,bottom
R76,156.800001,-58.342702,270.0,bottom
R77,158.400001,-58.342702,270.0,bottom
R78,160.000001,-59.442702,270.0,bottom
R79,161.600001,-59.442702,270.0,bottom
R8,242.8,-69.9,270.0,bottom
R80,120.000001,-58.355202,270.0,bottom
R81,121.600001,-58.342702,270.0,bottom
R82,123.200001,-58.342702,270.0,bottom
R83,124.800001,-58.355202,270.0,bottom
R84,126.400001,-58.342702,270.0,bottom
R85,128.000001,-58.342702,270.0,bottom
R86,129.600001,-58.342702,270.0,bottom
R87,131.200001,-58.342702,270.0,bottom
R88,132.900001,-58.342703,270.0,bottom
R9,242.8,-73.3,270.0,bottom
SW1,216.9,-54.8,90.0,bottom
SW2,256.8,-119.7,0.0,top
SW3,257.4,-64.9,0.0,top
SW4,245.9,-94.0,90.0,top
SW5,228.275,-54.7,180.0,bottom
U1,201.26,-29.8,0.0,bottom
U2,227.7,-92.7,180.0,bottom
U3,248.4,-68.4,0.0,bottom
U4,242.0,-61.4,90.0,bottom
U5,233.1,-68.4,0.0,bottom
U6,149.5,-123.711297,0.0,bottom
U7,149.194796,-99.870916,0.0,bottom
U8,149.194796,-77.411297,0.0,bottom
U9,140.35,-59.611297,0.0,bottom
